1	10	9	8	8	7	6.9	6	6	4	3.8
1	10.3	9.8	8.5	8.6	7.3	6.8	6	6.2	4.5	3.5
1	10	9.4	8.2	8	7	6	5.5	5	3.1	3
1	10	10	8	8.4	7.4	6.8	6.1	4.7	3	2.7
1	9.7	9.1	8.2	8.1	7.3	7.2	6.3	6.2	3.5	3
1	9.8	9	9	8.1	7.9	7	6	5	3.2	3
1	9.5	9.5	8.2	8	7.8	7.3	6.6	6.5	3.8	3.3
1	10.1	10.5	10.2	6	6.8	7.3	8.6	8.5	9.8	10.3
1	6	6.1	6	6.5	6	6	6	6.2	6.4	6
1	6.7	6	6.7	6.1	6.8	6.4	6.4	6	6	6
1	6	6.5	6.2	6.3	6.2	6.3	6.1	6.2	6.1	6.7
1	6	6.5	6	6.7	6	6.3	6	6.2	5.8	6.5
1	6.5	6.7	6.3	6.8	6.3	6.4	6.5	6.3	6.2	6.5
1	6.4	6.4	6.5	5.9	5.6	6	5.9	5.7	6	5.9
1	6.9	7	6.5	7	6.6	5.9	6.3	6.1	6.2	6.6
1	6.3	6.7	6.2	6.8	6.3	6.5	6.2	6.4	6	6.6
